N,P,K,temperature,humidity,ph,rainfall
0.4928571428571428,0.32857142857142857,0.09,0.38426907589009307,0.6835507002193634,0.5127080431407265,0.3106145734515071
0.42857142857142855,0.45,0.39,0.2954097879334696,0.04872295519131237,0.4846010199473145,0.23479671474452793
0.25,0.4928571428571429,0.08499999999999999,0.5135558096276278,0.5682244365074274,0.5278343479644321,0.08146027636931596
0.4928571428571428,0.35714285714285715,0.165,0.3983711798293118,0.7976938172769268,0.3415144311123298,0.9026674924218745
0.10714285714285714,0.06428571428571428,0.015,0.034007017328694766,0.88617070569224,0.4224024258570219,0.3565283880637349
0.5785714285714285,0.22142857142857142,0.165,0.4286929881312045,0.8600321972058455,0.4401145581946615,0.4676842325252102
0.5,0.2357142857142857,0.15000000000000002,0.446822635593652,0.7583722387122941,0.5457429147536175,0.5178408047519116
0.19285714285714284,0.4,0.065,0.7024841053902304,0.6161619765448622,0.27393188414735525,0.31740021336250157
0.1357142857142857,0.014285714285714284,0.025,0.1708575787365213,0.8977967478081669,0.40646040937699845,0.28751839417561076
0.17142857142857143,0.4,0.060000000000000005,0.39631390712353953,0.5971199032737642,0.42431930552999997,0.06503758439291474
0.9357142857142857,0.3142857142857143,0.08499999999999999,0.4784187816728992,0.7666142930966965,0.5912855991434962,0.16840380462310908
0.2785714285714286,0.5071428571428571,0.355,0.31973480542942523,0.01534233812088781,0.7202029057252655,0.17594529338520282
0.09999999999999999,0.37857142857142856,0.060000000000000005,0.6229922964012997,0.5332076762565603,0.17121155323032689,0.047729591590268586
0.17142857142857143,0.5357142857142857,0.07,0.5983747060743821,0.6395819181736526,0.5137038199701494,0.16338834420796589
0.5714285714285714,0.6071428571428571,0.21000000000000002,0.5099527650177228,0.759426458565325,0.4208320466099711,0.3133938048727447
0.42857142857142855,0.29285714285714287,0.24000000000000002,0.4493720046957358,0.918350240140093,0.5065364622016497,0.5869346213921612
0.0,0.17142857142857143,0.135,0.5518952625999924,0.9811630279093834,0.36755507892385864,0.5443763492330299
0.2642857142857143,0.03571428571428571,0.135,0.5778368099012676,0.9437899714525374,0.41371579050653806,0.7282480441985193
0.32857142857142857,0.5071428571428571,0.36,0.2700157651510603,0.06331197308223124,0.5385549733095103,0.22839567772031097
0.17142857142857143,0.44285714285714284,0.08499999999999999,0.3240868619788345,0.10079362570570544,0.3287683829733916,0.30343927512668656
0.7142857142857143,0.37857142857142856,0.18000000000000002,0.41171975014117645,0.8588569632864845,0.4904901535434214,0.5047276112539438
0.6357142857142857,0.14285714285714285,0.225,0.5228997315141095,0.8992692647368948,0.44650388257263995,0.01750670132855496
0.21428571428571427,0.17857142857142855,0.15000000000000002,0.46436538157440477,0.9487932875547164,0.38834411868378393,0.5233748411741642
0.2642857142857143,0.4642857142857143,0.1,0.312934037404589,0.12408256794741995,0.3599579535721903,0.22952708810242609
0.6285714285714286,0.11428571428571428,0.11000000000000001,0.4477625785142526,0.6038702227374187,0.579505150573089,0.580269684705714
0.6142857142857142,0.15000000000000002,0.11000000000000001,0.5252747410270895,0.4506989525044145,0.400666419140451,0.6190603968655312
0.17142857142857143,0.09285714285714285,0.0049999999999999975,0.5090531069556461,0.9354966004192892,0.43241276976673504,0.3456924571561919
0.02857142857142857,0.38571428571428573,0.07,0.5000034170192498,0.6225777925463397,0.6402061580082163,0.07404766350247241
0.17857142857142858,0.11428571428571428,0.03,0.6718056151713414,0.8853550147117658,0.4595858371383108,0.30372688407486315
